파일명,반출내용,구매방법,구매품명,길이,개수
num1.jpg,출고,매매,298X201,12.0,34
num4.jpg,출고,임대,298x201,12.0,15
num4.jpg,출고,임대,298x201,11.0,7
num4.jpg,출고,임대,298x201,11.5,7
num4.jpg,출고,임대,298x201,12.0,3
num4.jpg,출고,임대,298x201,12.5,3
num2.jpg,출고,임대,298x201,12.0,19
num2.jpg,출고,임대,298x201,10.0,12
num2.jpg,출고,임대,298x201,12.1,1
num2.jpg,출고,임대,298x201,10.9,1
num2.jpg,출고,임대,298x201,11.8,1
num2.jpg,출고,임대,298x201,12.0,1
num2.jpg,출고,임대,298x201,12.0,1
num2.jpg,출고,임대,298x201,11.7,1
num2.jpg,출고,임대,298x201,2.6,1
num3.jpg,출고,매매,300x300,7.3,1
num3.jpg,출고,매매,300x300,7.5,1
num3.jpg,출고,매매,300x300,7.0,1
num3.jpg,출고,매매,300x300,7.0,1
num3.jpg,출고,매매,300x300,7.0,1
num3.jpg,출고,매매,300x300,7.0,1
num3.jpg,출고,매매,300x300,7.5,1
num3.jpg,출고,매매,300x300,7.3,1
num3.jpg,출고,매매,300x300,7.1,1
num3.jpg,출고,매매,300x300,7.2,1
num3.jpg,출고,매매,300x300,7.0,1
num3.jpg,출고,매매,300x300,7.1,1
num3.jpg,출고,매매,300x300,6.9,1
num3.jpg,출고,매매,300x300,0.0,1
num3.jpg,출고,매매,300x300,0.0,13
num3.jpg,출고,매매,300x300,0.0,0
num3.jpg,출고,매매,300x300,6.0,1
num3.jpg,출고,매매,300x300,6.4,1
num3.jpg,출고,매매,300x300,6.5,1
num3.jpg,출고,매매,300x300,6.0,1
num3.jpg,출고,매매,300x300,6.5,1
num3.jpg,출고,매매,300x300,6.3,1
num3.jpg,출고,매매,300x300,6.6,1
num3.jpg,출고,매매,300x300,6.2,1
num3.jpg,출고,매매,300x300,6.6,1
num3.jpg,출고,매매,300x300,6.5,1
num3.jpg,출고,매매,300x300,6.7,1
num3.jpg,출고,매매,300x300,6.7,1
num3.jpg,출고,매매,300x300,0.0,1
num3.jpg,출고,매매,300x300,0.0,12
num3.jpg,출고,매매,300x300,0.0,0
num3.jpg,출고,매매,300x300,10.0,1
num3.jpg,출고,매매,300x300,10.4,1
num3.jpg,출고,매매,300x300,10.4,1
num3.jpg,출고,매매,300x300,10.4,1
num3.jpg,출고,매매,300x300,10.7,1
num3.jpg,출고,매매,300x300,10.4,1
num3.jpg,출고,매매,300x300,10.4,1
num3.jpg,출고,매매,300x300,10.0,1
num3.jpg,출고,매매,300x300,0.0,1
num3.jpg,출고,매매,300x300,0.0,8
num3.jpg,출고,매매,300x300,0.0,7
num3.jpg,출고,매매,300x300,0.0,0
num3.jpg,출고,매매,300x300,11.5,1
num3.jpg,출고,매매,300x300,11.6,1
num3.jpg,출고,매매,300x300,0.0,1
num3.jpg,출고,매매,300x300,0.0,2
num3.jpg,출고,매매,300x300,0.0,0
num3.jpg,출고,매매,300x300,0.0,0
